version,term_localName
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgement-URI-2024-11-13,Unit-Acknowledgement-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Citations-2024-11-13,Unit-Citations
http://rs.tdwg.org/abcd2/terms/version/Unit-Citation-2024-11-13,Unit-Citation
http://rs.tdwg.org/abcd2/terms/version/Unit-Citation-@language-2024-11-13,Unit-Citation-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Citation-Text-2024-11-13,Unit-Citation-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-Citation-Details-2024-11-13,Unit-Citation-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-Citation-URI-2024-11-13,Unit-Citation-URI
http://rs.tdwg.org/abcd2/terms/version/UnitContentContacts-2024-11-13,UnitContentContacts
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-2024-11-13,UnitContentContact
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-@preferred-2024-11-13,UnitContentContact-@preferred
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-2024-11-13,UnitContentContact-Organisation
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-OrganisationGUID-2024-11-13,UnitContentContact-OrganisationGUID
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-Name-2024-11-13,UnitContentContact-Organisation-Name
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-Representation-2024-11-13,UnitContentContact-Organisation-Representation
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-Representation-@language-2024-11-13,UnitContentContact-Organisation-Representation-@language
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-Text-2024-11-13,UnitContentContact-Organisation-Text
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-Abbreviation-2024-11-13,UnitContentContact-Organisation-Abbreviation
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-OrgUnits-2024-11-13,UnitContentContact-Organisation-OrgUnits
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-OrgUnit-2024-11-13,UnitContentContact-Organisation-OrgUnit
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Organisation-OrgUnit-@language-2024-11-13,UnitContentContact-Organisation-OrgUnit-@language
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-Person-2024-11-13,UnitContentContact-Person
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-FullName-2024-11-13,UnitContentContact-FullName
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-SortingName-2024-11-13,UnitContentContact-SortingName
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-AtomisedName-2024-11-13,UnitContentContact-AtomisedName
http://rs.tdwg.org/abcd2/terms/version/UnitContentContact-InheritedName-2024-11-13,UnitContentContact-InheritedName
