term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
Synecology-FullScientificNameString,FullScientificNameString,"A concatenated scientific name for the nomenclatural type designation for the specimen, preferrably fully formed in accordance with a Code of Nomenclature (i. e. a monomial, bionomial, or trinomial plus author(s) or author team(s) and - where relevant - year), or the name of a cultivar or cultivar group.",,Acipenser gueldenstadti Linnaeus 1758,Property,Gathering-Synecology,True,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/FullScientificNameString,,Synecology-ScientificName,2005-09-09,2005-09-09,
Synecology-NameAtomised,NameAtomised,"Atomised data items of the taxon identified for the associated taxa for the unit, with subtypes according to the different Codes of Nomenclature which apply to scientific names.",,,Class,Gathering-Synecology,True,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised,,Synecology-ScientificName,2005-09-09,2005-09-09,
Synecology-Botanical,Botanical,"Atomised botanical name for the nomenclatural type designation for the specimen, with elements according to the International Code of Botanical Nomenclature.",,,Class,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical,,Synecology-NameAtomised,2005-09-09,2005-09-09,
Synecology-Botanical-GenusOrMonomial,GenusOrMonomial,"One of the following, representing the genus, or higher taxon name, that is part of the identification for the associated taxon for the unit.<br/><br/>A generic name as a botanical scientific name or as part of it. <br/><br/>A generic name under one of the established nomenclatural codes <br/><br/>A manuscript name<br/><br/>An intergeneric hybrid name under the ICBN, without the leading multiplication sign, <br/><br/>The name of an intergeneric graft hybrid or graft chimaera, published under the Cultivated Code.<br/><br/>Rules: <br/><br/>1. First letter capitalised. <br/><br/>2. No spaces included.",,Abies; Halimiocistus; Crataegomespilus,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/GenusOrMonomial,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-FirstEpithet,FirstEpithet,The first epithet in a botanical name combination that is the nomenclatural type designation for the specimen (i.e. the epithet of a genus subdivision or a species epithet). <br/><br/>Rules: <br/><br/>1. No uppercase <br/><br/>2. No space,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/FirstEpithet,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-InfraspecificEpithet,InfraspecificEpithet,"The final epithet of a botanical name of infraspecific rank that is part of the nomenclatural type designation for the specimen.<br/><br/>The infraspecific epithet (i.e. the epithet following the indication of the infraspecific rank in the name string (trinomial)). <br/><br/>Note that quadrinomials etc. are not supported here as names; if deemed necessary, they can be entered in the FullScientificNameString, this element should than contain the last infraspecific epithet. <br/><br/>Rules: <br/><br/>1. No uppercase <br/><br/>2. No space",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/InfraspecificEpithet,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-Rank,Rank,"The rank of the name that is the nomenclatural type designation for the specimen, where needed to form it. (i.e. in infraspecies and in names of a rank between genus and species).",,subgen.; subsp.,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/Rank,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-HybridFlag,HybridFlag,"A flag indicating that the unit identified is a named hybrid (""x"") or a graft chimaera (""+"").",,X\n+,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/HybridFlag,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-HybridFlag-@insertionpoint,insertionpoint,"This attribute specifies the name element in front of which the hybrid flag should be inserted (1 = before entire name, 2= before first epithet, 3 = before rank designation for second epithet.)",,1\n2\n3,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/HybridFlag/@insertionpoint,,Synecology-HybridFlag,2005-09-09,2005-09-09,
Synecology-AuthorTeamParenthesis,AuthorTeamParenthesis,"Author team of the basionym of a combination that is the nomenclatural type designation for the specimen.<br/><br/>Author(s) of the original name for a taxon which has subsequently been revised but retains the same stem or epithet. May be preceded by a sanctioning author. If possible, preceding ""ex"" authors should be avoided.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeamParenthesis,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-AuthorTeam,AuthorTeam,"The authors who published the full name as it stands that is the nomenclatural type designation for the specimen.<br/><br/>Author(s) for the taxonomic name combination (i.e. the author team of the new combination where there is a basionym, and the name author team where there is none). May be preceded by a sanctioning author. If possible, preceding ""ex"" authors should be avoided.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeam,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-CultivarGroupName,CultivarGroupName,"The cultivar group that is part of the nomenclatural type designation for the specimen, as specified in the ICNCP.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarGroupName,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-CultivarName,CultivarName,"A cultivar name identified for the unit, as specified by the ICNCP (International Code of Nomenclature for Cultivated Plants). <br/><br/>For output, cultivar names must be enclosed in single quotes.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarName,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-TradeDesignationNames,TradeDesignationNames,A container for several trade names that are part of the nomenclatural type designation for the specimen.,,,Class,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/TradeDesignationNames,,Synecology-Botanical,2005-09-09,2005-09-09,
Synecology-TradeDesignationName,TradeDesignationName,"A trade name used for a specific cultivar that is part of the nomenclatural type designation for the specimen, as specified by the ICNCP.",,,Property,Gathering-Synecology,False,True,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Botanical/TradeDesignationNames/TradeDesignationName,,Synecology-TradeDesignationNames,2005-09-09,2005-09-09,
Synecology-Bacterial,Bacterial,"An atomised name for the nomenclatural type designation for the specimen, with elements according to the International Code of Nomenclature of Prokaryotes.",,,Class,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial,,Synecology-NameAtomised,2005-09-09,2005-09-09,
Synecology-Bacterial-GenusOrMonomial,GenusOrMonomial,A generic name as a bacterial scientific name or as part of it identified for associated taxon of the unit.<br/><br/>Rules:<br/><br/>1. First letter capitalised<br/><br/>2. No spaces included.,,Acetobacter,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/GenusOrMonomial,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-Bacterial-Subgenus,Subgenus,A subgenus name as (part of) a bacterial scientific name that is a nomenclatural type designation for the specimen. <br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/Subgenus,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-SubgenusAuthorAndYear,SubgenusAuthorAndYear,Author and year of the subgenus name that is part of the nomenclatural type designation for the specimen.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/SubgenusAuthorAndYear,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-Bacterial-SpeciesEpithet,SpeciesEpithet,"The first epithet occurring in a bacterial name (after genus and, optionally, subgenus names) as part of a nomenclatural type designation for the unit.",,liquefaciens,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/SpeciesEpithet,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-Bacterial-SubspeciesEpithet,SubspeciesEpithet,"The second epithet of a bacterial name of subspecies rank (after Genus, optional subgenus, and species epithet) as part of a nomenclatural type designation for the specimen.",,aceti,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/SubspeciesEpithet,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-ParentheticalAuthorTeamAndYear,ParentheticalAuthorTeamAndYear,Author team and Year of the basionym of a species or subspecies combination as part of a nomenclatural type designation for the specimen. Author(s) of the original name for a taxon which has subsequently been revised but retains the same stem or epithet.,,Asai,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/ParentheticalAuthorTeamAndYear,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-AuthorTeamAndYear,AuthorTeamAndYear,"The author(s) who published the full name as it stands and the year of the nomenclatural type designation for the specimen. <br/><br/>Author(s) for the taxonomic name combination (i.e. the author team of the new combination where there is a basionym, and the name author team where there is none).",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/AuthorTeamAndYear,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-NameApprobation,NameApprobation,"Approbation of the name that is part of the nomenclatural type designation for the specimen, according to an approved list, validation list,or validly published, paper in IJSB after 1980.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Bacterial/NameApprobation,,Synecology-Bacterial,2005-09-09,2005-09-09,
Synecology-Viral,Viral,"Atomised viral name that is the nomenclatural type designation for the specimen, with elements according to the International Committee on Taxonomy of Viruses.",,,Class,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Viral,,Synecology-NameAtomised,2005-09-09,2005-09-09,
Synecology-Viral-GenusOrMonomial,GenusOrMonomial,A genus or higher taxon name formed according to the code and representing the result of the identification for the associated taxon of the unit.<br/><br/>A generic name as a scientific name of a virus or as part of it.<br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Viral/GenusOrMonomial,,Synecology-Viral,2005-09-09,2005-09-09,
Synecology-ViralSpeciesDesignation,ViralSpeciesDesignation,"The formal name of a viral species, as part of the nomenclatural type designation for the specimen. (Examples: vaccinia virus; human herpes virus 2 (herpes simplex virus 2); poliovirus 1; Saccharomyces cerevisiae virus L-A; enterobacteria phage PRD1 [Source: ICTV]).",,vaccinia virus; human herpes virus 2 (herpes simplex virus 2); poliovirus 1; Saccharomyces cerevisiae virus L-A; enterobacteria phage PRD1,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Viral/ViralSpeciesDesignation,,Synecology-Viral,2005-09-09,2005-09-09,
Synecology-Acronym,Acronym,The accepted acronym for the virus that is part of the nomenclatural type designation for the specimen (e.g. PCV for Peanut Clump Virus).,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Viral/Acronym,,Synecology-Viral,2005-09-09,2005-09-09,
Synecology-Zoological,Zoological,"Atomized zoological name that is the nomenclatural type designation for the specimen, with elements according to the International Code of Zoological Nomenclature.",,,Class,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological,,Synecology-NameAtomised,2005-09-09,2005-09-09,
Synecology-Zoological-GenusOrMonomial,GenusOrMonomial,A generic name as a zoological scientific name or as part of it that was identified for associated taxon of the unit.<br/><br/>Rules:<br/><br/>1. First letter capitalised<br/><br/>2. No spaces included.,,Cambarus,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/GenusOrMonomial,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-Zoological-Subgenus,Subgenus,A subgenus name as a zoological scientific name or as part of it that is part of the nomenclatural type designation for the specimen.<br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/Subgenus,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-Zoological-SpeciesEpithet,SpeciesEpithet,"The first epithet occurring in a zoological name that is part of the nomenclatural type designation for the specimen (after genus and, optionally, subgenus names).",,monongalensis,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/SpeciesEpithet,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-Zoological-SubspeciesEpithet,SubspeciesEpithet,"The second epithet of a zoological name of subspecies rank that is part of the nomenclatural type designation for the specimen (after genus, optional subgenus, and species epithet).",,monongalensis,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/SubspeciesEpithet,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-AuthorTeamOriginalAndYear,AuthorTeamOriginalAndYear,The original authors and year of publication of the nomenclatural type designation for the specimen. <br/><br/>The first person(s) who validly published a species-group name and the year of publication.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamOriginalAndYear,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-AuthorTeamParenthesisAndYear,AuthorTeamParenthesisAndYear,The parenthetical author and year of publication for the nomenclatural type designation for the specimen. <br/><br/>The parenthetical citation of the original author when a species-group was transferred to another genus and the year of the original publication for a name identified for the unit. <br/><br/>Author(s) of the original name for a taxon which has subsequently been revised but retains the same stem or epithet and the year of the original publication. <br/><br/>Rule: Set in parenthesis upon output,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/AuthorTeamParenthesisAndYear,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-CombinationAuthorTeamAndYear,CombinationAuthorTeamAndYear,"The citation of the authors responsible for the new combination for the nomenclatural type designation for the specimen, and the year of its publication. <br/><br/>The citation of the authors responsible for the new combination when a species-group is transferred to another genus and the year of publication of the transfer.",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/CombinationAuthorTeamAndYear,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-Breed,Breed,Name of the breed of an animal as part of the nomenclatural type designation for the specimen.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/Breed,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-NamedIndividual,NamedIndividual,An individually named animal (e.g. a stallion in horsebreeding).,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual,,Synecology-Zoological,2005-09-09,2005-09-09,
Synecology-IdentificationQualifier,IdentificationQualifier,"A term to qualify the identification of the unit when doubts have arisen as to its identity (e.g. ""cf."" or ""aff.""). If it applies to an atomised name, the attribute insertionpoint defines the name element in front of which the qualifier should be inserted (1 = before entire name, 2= before first epithet, 3 = before second epithet.)",,,Property,Gathering-Synecology,True,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/IdentificationQualifier,,Synecology-ScientificName,2005-09-09,2005-09-09,
Synecology-IdentificationQualifier-@insertionpoint,insertionpoint,"The attribute @insertionpoint defines the name element in the scientific name identified for the associated taxon before which the identification qualifier should be inserted (1 = before entire name, 2 =  before first epithet, 3 = before second epithet).",,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/IdentificationQualifier/@insertionpoint,,Synecology-IdentificationQualifier,2005-09-09,2005-09-09,
Synecology-NameAddendum,NameAddendum,"A free-text suffix added to the taxon identified (e.g. ""sensu lato""), or an additional name element in common use but without formal nomenclatural standing (e.g. Isolate names for viruses).",,,Property,Gathering-Synecology,True,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/NameAddendum,,Synecology-ScientificName,2005-09-09,2005-09-09,
Synecology-InformalNameString,InformalNameString,The outcome of an identification event that does not adhere to the rule of a Code of Nomenclature.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/InformalNameString,,Synecology-TaxonIdentified,2005-09-09,2005-09-09,
Synecology-InformalNameString-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/InformalNameString/@language,,Synecology-InformalNameString,2005-09-09,2005-09-09,
Synecology-NameComments,NameComments,Any free text comments related to the name,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/NameComments,,Synecology-TaxonIdentified,2005-09-09,2005-09-09,
Synecology-NameComments-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/NameComments/@language,,Synecology-NameComments,2005-09-09,2005-09-09,
Synecology-Code,Code,The Code of Nomenclature that applies to the scientific name that is the result of the identification event for the associated taxon.,,,Property,Gathering-Synecology,False,False,/DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/Code,,Synecology-TaxonIdentified,2005-09-09,2005-09-09,
Gathering-Aspect,Aspect,"The facing direction (aspect) of the entire gathering site or a sample point.<br/><br/>This is measured in either letters (e.g. NE, SW) or Degrees (e.g. 270).<br/><br/>This information is of particular interest in relation to exposure and incident sunlight.<br/><br/>The values in these fields are nearly always directional and restricted to mountainous or sloping ground.",,,Class,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect,,Gathering,2005-09-09,2005-09-09,
Gathering-Aspect-Ordination,Ordination,"The direction, orientation or aspect of the slope of the gathering site expressed in compass points.<br/><br/>The value 'Open' can be used to describe flat plains or exposed ridge crests; 'Closed' can be used for valleys or ravines.",,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect/Ordination,,Gathering-Aspect,2005-09-09,2005-09-09,
Gathering-Aspect-CompassBearing,CompassBearing,"The orientation or bearing from north of the gathering site, expressed in compass degrees.<br/><br/>This may be used for recording the aspect of a site or as part of the dip/strike measurement in geologic records.",,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect/CompassBearing,,Gathering-Aspect,2005-09-09,2005-09-09,
Gathering-Aspect-Accuracy,Accuracy,The accuracy of the bearing measurement of the aspect of the gathering site.,,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect/Accuracy,,Gathering-Aspect,2005-09-09,2005-09-09,
Gathering-Aspect-Text,Text,"The direction of aspect or slope expressed as free text.<br/><br/>This field should be a verbatim quote from the specimen label, to the extent possible.",,South West facing slope; Westward cliff,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect/Text,,Gathering-Aspect,2005-09-09,2005-09-09,
Gathering-Aspect-Text-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Aspect/Text/@language,,Gathering-Aspect-Text,2012-11-26,2012-11-26,added in 2.06d
Gathering-Notes,Notes,Further text relating to the gathering event that does not fit one of the specified elements.,,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Notes,,Gathering,2005-09-09,2005-09-09,
Gathering-Notes-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/Notes/@language,,Gathering-Notes,2005-09-09,2005-09-09,
Gathering-FootprintWKT,FootprintWKT,"[DwC Geospacial Extension Schema v. 0.3]. A Well-Known Text (WKT; see http://en.wikipedia.org/wiki/Well-known_text) representation of the the shape (footprint) that defines the location of the occurrence. Example: the one-degree box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))",,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/FootprintWKT,,Gathering,2006-10-09,2006-10-09,added in 2.06a
Gathering-FootprintSpatialFit,FootprintSpatialFit,"[DwC Geospacial Extension Schema v. 0.3] A measure of how well the geometry expressed in the footprint match the original spatial representation, as a ratio of the area of the footprint given to the area of the original spatial representation. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given georeference does not completely contain the original representation. The FootprintSpatialFit is undefined if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the FootprintSpatialFit is 1. Detailed explanations with graphical examples can be found in the Guide to Best Practices for Georeferencing (Chapman and Wieczorek, eds. 2006)",,,Property,Gathering,False,False,/DataSets/DataSet/Units/Unit/Gathering/FootprintSpatialFit,,Gathering,2006-10-09,2006-10-09,added in 2.06a
CollectorsFieldNumber,CollectorsFieldNumber,"The original number assigned to the unit by the collector or observer. The entire desiganation is normally composed of the name or initials of the collector(s) followed by a number. This number is essential for identifying duplicates held in different collections. <br/><br/>This identifier should be added to the entry (for collectors) under {{{Gathering/GatheringAgents/../Person}}}, if such an entry exists. However, the collector (or collector abbreviation) and number can also be given in a single field (e.g. FAO/IPGRI multi-crop passport descriptor (MCPD), described in the EURISCO descriptor list dated July 3, 2002). In that case, the entire string may be entered here.",,,Property,Unit,False,False,/DataSets/DataSet/Units/Unit/CollectorsFieldNumber,,Unit,2005-09-09,2005-09-09,
Unit-MeasurementsOrFacts,MeasurementsOrFacts,"A container element for several quantitative and categorical measurements (including observations) relating to the unit (e.g. counts, size measurements, colours, etc.).",,,Class,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts,,Unit,2005-09-09,2005-09-09,
Unit-MeasurementOrFact,MeasurementOrFact,A general purpose measurement element that can be used to store any kind of count or measurement related to a unit.,,"Length of bill; Number of eggs; Weight; pH; Specific gravity; Number of individuals in a batch, such as males, females, juveniles, total",Class,MeasurementOrFact,False,True,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact,,Unit-MeasurementsOrFacts,2005-09-09,2005-09-09,
Unit-MeasurementOrFactAtomised,MeasurementOrFactAtomised,Atomised data describing a measurement or fact related to the unit.,,,Class,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised,,Unit-MeasurementOrFact,2005-09-09,2005-09-09,
Unit-MeasurementOrFact-MeasuredBy,MeasuredBy,The person to whom the unit measurement or fact is attributed.,,,Property,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy,,Unit-MeasurementOrFactAtomised,2005-09-09,2005-09-09,
Unit-MeasurementOrFact-MeasurementDateTime,MeasurementDateTime,The date and/or time the unit measurement was taken.,,,Property,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasurementDateTime,,Unit-MeasurementOrFactAtomised,2005-09-09,2005-09-09,
Unit-MeasurementOrFact-Duration,Duration,The duration in time of the unit measurement.,,,Property,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Duration,,Unit-MeasurementOrFactAtomised,2005-09-09,2005-09-09,
Unit-MeasurementOrFact-Method,Method,The method used to arrive at the unit measurement or fact.,,,Property,MeasurementOrFact,False,False,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Method,,Unit-MeasurementOrFactAtomised,2005-09-09,2005-09-09,
