term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
DataSet-DateModified,DateModified,"The last modification date for the data source. Source for the Dublin-Core element Date.Modified. If the provider cannot assess this for online data sources, the current date/time may be substituted. For legacy data this may be set to the file date of imported data, or estimated.",,,Property,DataSet,True,False,/DataSets/DataSet/Metadata/RevisionData/DateModified,,DataSet-RevisionData,2005-09-09,2005-09-09,
DataSet-Owners,Owners,A container element for several owners of the data source.,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Owners,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-Owner,Owner,"An entity having legal possession of the entire data source content. If an owner statement is present on the unit level, it should override this dataset-level statement.",,,Class,DataSet-Owner,False,True,/DataSets/DataSet/Metadata/Owners/Owner,,DataSet-Owners,2005-09-09,2005-09-09,
DataSet-Owner-Organisation,Organisation,Organisation acting as or representing the legal owner of the data source.,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-OrganisationGUID,OrganisationGUID,The unique reference number GUID (global unique identifier) of the data source owner organisation.,,,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID,,DataSet-Owner-Organisation,2007-06-13,2007-06-13,added in 2.06b
DataSet-Owner-Organisation-Name,Name,Container element for several language-specific representations of the full organisation or corporate name for the data source owner.,,en: Botanical Garden of ...; de: Botanischer Garten von ...,Class,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name,,DataSet-Owner-Organisation,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-Representation,Representation,"A language-specific label representation of the organisation name of the data collection owner. The attribute @language lets you specify the language, the Representation mechanism makes it possible to ensure that only one name per language is specified.",,,Class,DataSet-Owner,True,True,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation,,DataSet-Owner-Organisation-Name,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-Representation-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation/@language,,DataSet-Owner-Organisation-Representation,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-Text,Text,Label text in a specific language representing the organisation of the legal owner of the data collection.,,,Property,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation/Text,,DataSet-Owner-Organisation-Representation,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-Abbreviation,Abbreviation,"Label abbreviation representing the organisation of the legal owner of the data collection. Restricted to 50 characters maximum length, including blanks (shorter recommended!). Label abbreviations are especially important when displaying information in a tabular format.",,,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation/Abbreviation,,DataSet-Owner-Organisation-Representation,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-OrgUnits,OrgUnits,A container element for several organisation units that the collection owner represents or to which the collection owner may belong. (vCard: Org-Unit),,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrgUnits,,DataSet-Owner-Organisation,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-OrgUnit,OrgUnit,"The organisational unit acting as the data source owner or with which the owner is associated. This is compatible with vcard ""Org-Unit"".",,,Property,DataSet-Owner,True,True,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrgUnits/OrgUnit,,DataSet-Owner-Organisation-OrgUnits,2005-09-09,2005-09-09,
DataSet-Owner-Organisation-OrgUnit-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrgUnits/OrgUnit/@language,,DataSet-Owner-Organisation-OrgUnit,2005-09-09,2005-09-09,
DataSet-Owner-Person,Person,Person contact representing the owner of the data collection.,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person,,DataSet-Owner,2005-09-09,2005-09-09,
DataSet-Owner-FullName,FullName,The name of person as normally used representing the data collection's legal owner. The name may include titles.,,Professor James Hundredwidth; Aylstone T. Mctrace,Property,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/FullName,,DataSet-Owner-Person,2005-09-09,2005-09-09,
DataSet-Owner-SortingName,SortingName,The full name of the data collection's owner in a form appropriate for sorting alphabetically. The form consists of the following: inherited name (western cultures: lastname) followed by a comma then a space then given names or initials separated by a space (vCard: Sort-String).,,"Hundredwidth, James; Mctrace, Aylstone T.",Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/SortingName,,DataSet-Owner-Person,2005-09-09,2005-09-09,
DataSet-Owner-AtomisedName,AtomisedName,Atomized name of the data collection's owner.,,,Class,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName,,DataSet-Owner-Person,2005-09-09,2005-09-09,
DataSet-Owner-InheritedName,InheritedName,"The inherited name of the data collection owner. This may consist of family names, generational names, a clan name, parents or grandparents personal names, etc. The inherited name (this being the lastname in western cultures) may be compound (e.g. 'Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture, the inherited name is not necessarily the name of the parents nor common to a married couple. Therefore, 'family name' should be avoided even though used in vCard (vCard: N-Family).",,,Property,DataSet-Owner,True,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/InheritedName,,DataSet-Owner-AtomisedName,2005-09-09,2005-09-09,
DataSet-Owner-AtomisedName-Prefix,Prefix,"The prefix to the data collection owner's inherited name. The prefix should be output before the name, but is usually not included in sorting. Compare Title for 'Prof', 'Dr.' (vCard: N-Prefix)",,von; Lord,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/Prefix,,DataSet-Owner-AtomisedName,2005-09-09,2005-09-09,
DataSet-Owner-AtomisedName-Suffix,Suffix,"The suffix for the name of the data collection owner. The suffix should be output after the name, regardless of whether it is in sorting sequence (Inherited, Given) or not (vCard: N-Suffix).",,Jun.; III.,Property,DataSet-Owner,False,False,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/Suffix,,DataSet-Owner-AtomisedName,2005-09-09,2005-09-09,
