termList,term
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/verbatimCoordinateSystem
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/verbatimSRS
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/accessRights
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/bibliographicCitation
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/language
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/license
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/Location
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/modified
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/references
http://rs.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/rightsHolder
http://rs.tdwg.org/dwc/dc/,http://purl.org/dc/elements/1.1/language
http://rs.tdwg.org/dwc/dc/,http://purl.org/dc/elements/1.1/type
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/accessURI
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/associatedObservationReference
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/associatedSpecimenReference
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/attributionLinkURL
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/attributionLogoURL
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/caption
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/captureDevice
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/commenter
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/commenterLiteral
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/comments
http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/derivedFrom
